######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[0] seeds=[1 2 3 4 5] on GPU 0 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k4_N10_lam0_marginal_s1                    33s  ESS=10
  mdlm_fs_k4_N10_lam0_edlm_s1                        33s  ESS=10
  mdlm_fs_k4_N10_lam0_marginal_s2                    33s  ESS=10
  mdlm_fs_k4_N10_lam0_edlm_s2                        33s  ESS=10
  mdlm_fs_k4_N10_lam0_marginal_s3                    32s  ESS=10
  mdlm_fs_k4_N10_lam0_edlm_s3                        32s  ESS=10
  mdlm_fs_k4_N10_lam0_marginal_s4                    32s  ESS=10
  mdlm_fs_k4_N10_lam0_edlm_s4                        32s  ESS=10
  mdlm_fs_k4_N10_lam0_marginal_s5                    33s  ESS=10
  mdlm_fs_k4_N10_lam0_edlm_s5                        33s  ESS=10
  mdlm_fs_k8_N10_lam0_marginal_s1                    26s  ESS=10
  mdlm_fs_k8_N10_lam0_edlm_s1                        26s  ESS=10
  mdlm_fs_k8_N10_lam0_marginal_s2                    27s  ESS=10
  mdlm_fs_k8_N10_lam0_edlm_s2                        26s  ESS=10
  mdlm_fs_k8_N10_lam0_marginal_s3                    26s  ESS=10
  mdlm_fs_k8_N10_lam0_edlm_s3                        26s  ESS=10
  mdlm_fs_k8_N10_lam0_marginal_s4                    26s  ESS=10
  mdlm_fs_k8_N10_lam0_edlm_s4                        26s  ESS=10
  mdlm_fs_k8_N10_lam0_marginal_s5                    27s  ESS=10
  mdlm_fs_k8_N10_lam0_edlm_s5                        26s  ESS=10
=============== N=100 ===============
  mdlm_fs_k1_N100_lam0_marginal_s1                  115s  ESS=100
  mdlm_fs_k1_N100_lam0_edlm_s1                      121s  ESS=100
  mdlm_fs_k1_N100_lam0_marginal_s2                  121s  ESS=100
  mdlm_fs_k1_N100_lam0_edlm_s2                      122s  ESS=100
  mdlm_fs_k1_N100_lam0_marginal_s3                  122s  ESS=100
  mdlm_fs_k1_N100_lam0_edlm_s3                      121s  ESS=100
  mdlm_fs_k1_N100_lam0_marginal_s4                  120s  ESS=100
  mdlm_fs_k1_N100_lam0_edlm_s4                      123s  ESS=100
  mdlm_fs_k1_N100_lam0_marginal_s5                  123s  ESS=100
  mdlm_fs_k1_N100_lam0_edlm_s5                      120s  ESS=100
  mdlm_fs_k2_N100_lam0_marginal_s1                   70s  ESS=100
  mdlm_fs_k2_N100_lam0_edlm_s1                       73s  ESS=100
  mdlm_fs_k2_N100_lam0_marginal_s2                   71s  ESS=100
  mdlm_fs_k2_N100_lam0_edlm_s2                       70s  ESS=100
  mdlm_fs_k2_N100_lam0_marginal_s3                   72s  ESS=100
  mdlm_fs_k2_N100_lam0_edlm_s3                       70s  ESS=100
  mdlm_fs_k2_N100_lam0_marginal_s4                   71s  ESS=100
  mdlm_fs_k2_N100_lam0_edlm_s4                       71s  ESS=100
  mdlm_fs_k2_N100_lam0_marginal_s5                   70s  ESS=100
  mdlm_fs_k2_N100_lam0_edlm_s5                       71s  ESS=100
  mdlm_fs_k4_N100_lam0_marginal_s1                   46s  ESS=100
  mdlm_fs_k4_N100_lam0_edlm_s1                       44s  ESS=100
  mdlm_fs_k4_N100_lam0_marginal_s2                   46s  ESS=100
  mdlm_fs_k4_N100_lam0_edlm_s2                       47s  ESS=100
  mdlm_fs_k4_N100_lam0_marginal_s3                   43s  ESS=100
  mdlm_fs_k4_N100_lam0_edlm_s3                       44s  ESS=100
  mdlm_fs_k4_N100_lam0_marginal_s4                   45s  ESS=100
  mdlm_fs_k4_N100_lam0_edlm_s4                       44s  ESS=100
  mdlm_fs_k4_N100_lam0_marginal_s5                   46s  ESS=100
  mdlm_fs_k4_N100_lam0_edlm_s5                       45s  ESS=100
  mdlm_fs_k8_N100_lam0_marginal_s1                   33s  ESS=100
  mdlm_fs_k8_N100_lam0_edlm_s1                       32s  ESS=100
  mdlm_fs_k8_N100_lam0_marginal_s2                   32s  ESS=100
  mdlm_fs_k8_N100_lam0_edlm_s2                       31s  ESS=100
  mdlm_fs_k8_N100_lam0_marginal_s3                   32s  ESS=100
  mdlm_fs_k8_N100_lam0_edlm_s3                       33s  ESS=100
  mdlm_fs_k8_N100_lam0_marginal_s4                   31s  ESS=100
  mdlm_fs_k8_N100_lam0_edlm_s4                       32s  ESS=100
  mdlm_fs_k8_N100_lam0_marginal_s5                   31s  ESS=100
  mdlm_fs_k8_N100_lam0_edlm_s5                       31s  ESS=100
=============== N=1000 ===============
  mdlm_fs_k1_N1000_lam0_marginal_s1                 641s  ESS=1
  mdlm_fs_k1_N1000_lam0_edlm_s1                     659s  ESS=1
  mdlm_fs_k1_N1000_lam0_marginal_s2                 667s  ESS=1
  mdlm_fs_k1_N1000_lam0_edlm_s2                     636s  ESS=1
  mdlm_fs_k1_N1000_lam0_marginal_s3                 642s  ESS=1
  mdlm_fs_k1_N1000_lam0_edlm_s3                     661s  ESS=1
  mdlm_fs_k1_N1000_lam0_marginal_s4                 651s  ESS=1
  mdlm_fs_k1_N1000_lam0_edlm_s4                     656s  ESS=1
  mdlm_fs_k1_N1000_lam0_marginal_s5                 664s  ESS=1
  mdlm_fs_k1_N1000_lam0_edlm_s5                     649s  ESS=1
  mdlm_fs_k2_N1000_lam0_marginal_s1                 330s  ESS=1
  mdlm_fs_k2_N1000_lam0_edlm_s1                     331s  ESS=1
  mdlm_fs_k2_N1000_lam0_marginal_s2                 324s  ESS=1
  mdlm_fs_k2_N1000_lam0_edlm_s2                     318s  ESS=1
  mdlm_fs_k2_N1000_lam0_marginal_s3                 321s  ESS=1
  mdlm_fs_k2_N1000_lam0_edlm_s3                     325s  ESS=1
  mdlm_fs_k2_N1000_lam0_marginal_s4                 340s  ESS=1
  mdlm_fs_k2_N1000_lam0_edlm_s4                     315s  ESS=1
  mdlm_fs_k2_N1000_lam0_marginal_s5                 334s  ESS=1
  mdlm_fs_k2_N1000_lam0_edlm_s5                     333s  ESS=1
  mdlm_fs_k4_N1000_lam0_marginal_s1                 177s  ESS=1
  mdlm_fs_k4_N1000_lam0_edlm_s1                     173s  ESS=1
  mdlm_fs_k4_N1000_lam0_marginal_s2                 170s  ESS=1
  mdlm_fs_k4_N1000_lam0_edlm_s2                     174s  ESS=1
  mdlm_fs_k4_N1000_lam0_marginal_s3                 171s  ESS=1
  mdlm_fs_k4_N1000_lam0_edlm_s3                     178s  ESS=1
  mdlm_fs_k4_N1000_lam0_marginal_s4                 171s  ESS=1
  mdlm_fs_k4_N1000_lam0_edlm_s4                     169s  ESS=1
  mdlm_fs_k4_N1000_lam0_marginal_s5                 174s  ESS=1
  mdlm_fs_k4_N1000_lam0_edlm_s5                     173s  ESS=1
  mdlm_fs_k8_N1000_lam0_marginal_s1                  98s  ESS=1
  mdlm_fs_k8_N1000_lam0_edlm_s1                      97s  ESS=1
  mdlm_fs_k8_N1000_lam0_marginal_s2                 101s  ESS=1
  mdlm_fs_k8_N1000_lam0_edlm_s2                      95s  ESS=1
  mdlm_fs_k8_N1000_lam0_marginal_s3                  97s  ESS=1
  mdlm_fs_k8_N1000_lam0_edlm_s3                      98s  ESS=1
  mdlm_fs_k8_N1000_lam0_marginal_s4                  99s  ESS=1
  mdlm_fs_k8_N1000_lam0_edlm_s4                      99s  ESS=1
  mdlm_fs_k8_N1000_lam0_marginal_s5                  97s  ESS=1
  mdlm_fs_k8_N1000_lam0_edlm_s5                      96s  ESS=1
######## Done at 2026. 08. 26. (수) 06:53:29 KST: 788 csv
