######## fewstep: mdlm x qed | k=[1 2 4 8] N=[300 30 10 100 1000]
######## lambda=[1000] seeds=[1 2 3 4 5] on GPU 3 at 2026. 08. 26. (수) 00:15:43 KST
=============== N=300 ===============
  mdlm_fs_k8_N300_lam1000_marginal_s5                47s  ESS=270
  mdlm_fs_k8_N300_lam1000_edlm_s5                    46s  ESS=234
=============== N=30 ===============
  mdlm_fs_k1_N30_lam1000_marginal_s1                 84s  ESS=29.3
  mdlm_fs_k1_N30_lam1000_edlm_s1                     84s  ESS=29.2
  mdlm_fs_k1_N30_lam1000_marginal_s2                 84s  ESS=29
  mdlm_fs_k1_N30_lam1000_edlm_s2                     83s  ESS=29.6
  mdlm_fs_k1_N30_lam1000_marginal_s3                 83s  ESS=29.6
  mdlm_fs_k1_N30_lam1000_edlm_s3                     84s  ESS=28.8
  mdlm_fs_k1_N30_lam1000_marginal_s4                 84s  ESS=28.9
  mdlm_fs_k1_N30_lam1000_edlm_s4                     82s  ESS=29.7
  mdlm_fs_k1_N30_lam1000_marginal_s5                 85s  ESS=28.9
  mdlm_fs_k1_N30_lam1000_edlm_s5                     82s  ESS=27.1
  mdlm_fs_k2_N30_lam1000_marginal_s1                 52s  ESS=27.7
  mdlm_fs_k2_N30_lam1000_edlm_s1                     51s  ESS=28.8
  mdlm_fs_k2_N30_lam1000_marginal_s2                 50s  ESS=29.4
  mdlm_fs_k2_N30_lam1000_edlm_s2                     50s  ESS=28.4
  mdlm_fs_k2_N30_lam1000_marginal_s3                 50s  ESS=28.1
  mdlm_fs_k2_N30_lam1000_edlm_s3                     50s  ESS=27.8
  mdlm_fs_k2_N30_lam1000_marginal_s4                 50s  ESS=28.9
  mdlm_fs_k2_N30_lam1000_edlm_s4                     50s  ESS=27.6
  mdlm_fs_k2_N30_lam1000_marginal_s5                 51s  ESS=29.7
  mdlm_fs_k2_N30_lam1000_edlm_s5                     51s  ESS=27.6
  mdlm_fs_k4_N30_lam1000_marginal_s1                 37s  ESS=27.8
  mdlm_fs_k4_N30_lam1000_edlm_s1                     35s  ESS=27.9
  mdlm_fs_k4_N30_lam1000_marginal_s2                 35s  ESS=26.7
  mdlm_fs_k4_N30_lam1000_edlm_s2                     35s  ESS=27.6
  mdlm_fs_k4_N30_lam1000_marginal_s3                 35s  ESS=27.3
  mdlm_fs_k4_N30_lam1000_edlm_s3                     34s  ESS=27.6
  mdlm_fs_k4_N30_lam1000_marginal_s4                 35s  ESS=29.3
  mdlm_fs_k4_N30_lam1000_edlm_s4                     35s  ESS=28.3
  mdlm_fs_k4_N30_lam1000_marginal_s5                 35s  ESS=27.1
  mdlm_fs_k4_N30_lam1000_edlm_s5                     36s  ESS=29.1
  mdlm_fs_k8_N30_lam1000_marginal_s1                 28s  ESS=29.1
  mdlm_fs_k8_N30_lam1000_edlm_s1                     26s  ESS=28
  mdlm_fs_k8_N30_lam1000_marginal_s2                 27s  ESS=27.1
  mdlm_fs_k8_N30_lam1000_edlm_s2                     27s  ESS=29.5
  mdlm_fs_k8_N30_lam1000_marginal_s3                 27s  ESS=27.4
  mdlm_fs_k8_N30_lam1000_edlm_s3                     27s  ESS=28.2
  mdlm_fs_k8_N30_lam1000_marginal_s4                 28s  ESS=27.4
  mdlm_fs_k8_N30_lam1000_edlm_s4                     26s  ESS=26.4
  mdlm_fs_k8_N30_lam1000_marginal_s5                 27s  ESS=27.3
  mdlm_fs_k8_N30_lam1000_edlm_s5                     29s  ESS=27.2
=============== N=10 ===============
  mdlm_fs_k1_N10_lam1000_marginal_s1                 76s  ESS=9.42
  mdlm_fs_k1_N10_lam1000_edlm_s1                     78s  ESS=9.59
  mdlm_fs_k1_N10_lam1000_marginal_s2                 75s  ESS=9.82
  mdlm_fs_k1_N10_lam1000_edlm_s2                     76s  ESS=9.73
  mdlm_fs_k1_N10_lam1000_marginal_s3                 76s  ESS=9.73
  mdlm_fs_k1_N10_lam1000_edlm_s3                     75s  ESS=9.29
  mdlm_fs_k1_N10_lam1000_marginal_s4                 74s  ESS=9.56
  mdlm_fs_k1_N10_lam1000_edlm_s4                     75s  ESS=9.82
  mdlm_fs_k1_N10_lam1000_marginal_s5                 74s  ESS=9.59
  mdlm_fs_k1_N10_lam1000_edlm_s5                     76s  ESS=9.75
  mdlm_fs_k2_N10_lam1000_marginal_s1                 45s  ESS=9.89
  mdlm_fs_k2_N10_lam1000_edlm_s1                     48s  ESS=9.5
  mdlm_fs_k2_N10_lam1000_marginal_s2                 48s  ESS=9.39
  mdlm_fs_k2_N10_lam1000_edlm_s2                     47s  ESS=9.42
  mdlm_fs_k2_N10_lam1000_marginal_s3                 47s  ESS=9.03
  mdlm_fs_k2_N10_lam1000_edlm_s3                     47s  ESS=9.16
  mdlm_fs_k2_N10_lam1000_marginal_s4                 47s  ESS=9.7
  mdlm_fs_k2_N10_lam1000_edlm_s4                     48s  ESS=9.31
  mdlm_fs_k2_N10_lam1000_marginal_s5                 47s  ESS=9.53
  mdlm_fs_k2_N10_lam1000_edlm_s5                     47s  ESS=10
  mdlm_fs_k4_N10_lam1000_marginal_s1                 33s  ESS=9.72
  mdlm_fs_k4_N10_lam1000_edlm_s1                     33s  ESS=9.13
  mdlm_fs_k4_N10_lam1000_marginal_s2                 33s  ESS=9.37
  mdlm_fs_k4_N10_lam1000_edlm_s2                     33s  ESS=9.34
  mdlm_fs_k4_N10_lam1000_marginal_s3                 34s  ESS=9.38
  mdlm_fs_k4_N10_lam1000_edlm_s3                     32s  ESS=9.45
  mdlm_fs_k4_N10_lam1000_marginal_s4                 33s  ESS=9.67
  mdlm_fs_k4_N10_lam1000_edlm_s4                     33s  ESS=9.36
  mdlm_fs_k4_N10_lam1000_marginal_s5                 34s  ESS=9.61
  mdlm_fs_k4_N10_lam1000_edlm_s5                     33s  ESS=9.4
  mdlm_fs_k8_N10_lam1000_marginal_s1                 26s  ESS=10
  mdlm_fs_k8_N10_lam1000_edlm_s1                     28s  ESS=9.59
  mdlm_fs_k8_N10_lam1000_marginal_s2                 27s  ESS=9.72
  mdlm_fs_k8_N10_lam1000_edlm_s2                     26s  ESS=9.59
  mdlm_fs_k8_N10_lam1000_marginal_s3                 26s  ESS=9.94
  mdlm_fs_k8_N10_lam1000_edlm_s3                     26s  ESS=9.87
  mdlm_fs_k8_N10_lam1000_marginal_s4                 25s  ESS=9.45
  mdlm_fs_k8_N10_lam1000_edlm_s4                     27s  ESS=9.33
  mdlm_fs_k8_N10_lam1000_marginal_s5                 27s  ESS=9.5
  mdlm_fs_k8_N10_lam1000_edlm_s5                     26s  ESS=9.45
=============== N=100 ===============
  mdlm_fs_k1_N100_lam1000_marginal_s1               127s  ESS=97.5
  mdlm_fs_k1_N100_lam1000_edlm_s1                   123s  ESS=95.9
  mdlm_fs_k1_N100_lam1000_marginal_s2               123s  ESS=96.4
  mdlm_fs_k1_N100_lam1000_edlm_s2                   124s  ESS=93.8
  mdlm_fs_k1_N100_lam1000_marginal_s3               123s  ESS=95.8
  mdlm_fs_k1_N100_lam1000_edlm_s3                   125s  ESS=97.3
  mdlm_fs_k1_N100_lam1000_marginal_s4               128s  ESS=93.8
  mdlm_fs_k1_N100_lam1000_edlm_s4                   125s  ESS=97.9
  mdlm_fs_k1_N100_lam1000_marginal_s5               124s  ESS=94.7
  mdlm_fs_k1_N100_lam1000_edlm_s5                   122s  ESS=96.2
  mdlm_fs_k2_N100_lam1000_marginal_s1                72s  ESS=95.8
  mdlm_fs_k2_N100_lam1000_edlm_s1                    73s  ESS=94.3
  mdlm_fs_k2_N100_lam1000_marginal_s2                71s  ESS=97.6
  mdlm_fs_k2_N100_lam1000_edlm_s2                    72s  ESS=92.7
  mdlm_fs_k2_N100_lam1000_marginal_s3                71s  ESS=91.2
  mdlm_fs_k2_N100_lam1000_edlm_s3                    70s  ESS=94.8
  mdlm_fs_k2_N100_lam1000_marginal_s4                74s  ESS=94.6
  mdlm_fs_k2_N100_lam1000_edlm_s4                    72s  ESS=94.3
  mdlm_fs_k2_N100_lam1000_marginal_s5                71s  ESS=91.6
  mdlm_fs_k2_N100_lam1000_edlm_s5                    71s  ESS=92.7
  mdlm_fs_k4_N100_lam1000_marginal_s1                46s  ESS=92
  mdlm_fs_k4_N100_lam1000_edlm_s1                    45s  ESS=81.2
  mdlm_fs_k4_N100_lam1000_marginal_s2                45s  ESS=86.8
  mdlm_fs_k4_N100_lam1000_edlm_s2                    46s  ESS=89.8
  mdlm_fs_k4_N100_lam1000_marginal_s3                45s  ESS=90.7
  mdlm_fs_k4_N100_lam1000_edlm_s3                    45s  ESS=90
  mdlm_fs_k4_N100_lam1000_marginal_s4                46s  ESS=95.6
  mdlm_fs_k4_N100_lam1000_edlm_s4                    45s  ESS=85.6
  mdlm_fs_k4_N100_lam1000_marginal_s5                44s  ESS=93.9
  mdlm_fs_k4_N100_lam1000_edlm_s5                    45s  ESS=90.9
  mdlm_fs_k8_N100_lam1000_marginal_s1                31s  ESS=95.2
  mdlm_fs_k8_N100_lam1000_edlm_s1                    33s  ESS=90.3
  mdlm_fs_k8_N100_lam1000_marginal_s2                31s  ESS=88.6
  mdlm_fs_k8_N100_lam1000_edlm_s2                    32s  ESS=94.6
  mdlm_fs_k8_N100_lam1000_marginal_s3                31s  ESS=87.3
  mdlm_fs_k8_N100_lam1000_edlm_s3                    31s  ESS=91.7
  mdlm_fs_k8_N100_lam1000_marginal_s4                32s  ESS=86.8
  mdlm_fs_k8_N100_lam1000_edlm_s4                    32s  ESS=97.7
  mdlm_fs_k8_N100_lam1000_marginal_s5                33s  ESS=88.7
  mdlm_fs_k8_N100_lam1000_edlm_s5                    32s  ESS=91.4
=============== N=1000 ===============
  mdlm_fs_k1_N1000_lam1000_marginal_s1              665s  ESS=954
  mdlm_fs_k1_N1000_lam1000_edlm_s1                  662s  ESS=928
  mdlm_fs_k1_N1000_lam1000_marginal_s2              649s  ESS=989
  mdlm_fs_k1_N1000_lam1000_edlm_s2                  679s  ESS=965
  mdlm_fs_k1_N1000_lam1000_marginal_s3              660s  ESS=953
  mdlm_fs_k1_N1000_lam1000_edlm_s3                  647s  ESS=982
  mdlm_fs_k1_N1000_lam1000_marginal_s4              672s  ESS=938
  mdlm_fs_k1_N1000_lam1000_edlm_s4                  674s  ESS=966
  mdlm_fs_k1_N1000_lam1000_marginal_s5              674s  ESS=971
  mdlm_fs_k1_N1000_lam1000_edlm_s5                  664s  ESS=990
  mdlm_fs_k2_N1000_lam1000_marginal_s1              339s  ESS=931
  mdlm_fs_k2_N1000_lam1000_edlm_s1                  330s  ESS=908
  mdlm_fs_k2_N1000_lam1000_marginal_s2              334s  ESS=920
  mdlm_fs_k2_N1000_lam1000_edlm_s2                  336s  ESS=966
  mdlm_fs_k2_N1000_lam1000_marginal_s3              336s  ESS=925
  mdlm_fs_k2_N1000_lam1000_edlm_s3                  334s  ESS=892
  mdlm_fs_k2_N1000_lam1000_marginal_s4              331s  ESS=898
  mdlm_fs_k2_N1000_lam1000_edlm_s4                  331s  ESS=890
  mdlm_fs_k2_N1000_lam1000_marginal_s5              326s  ESS=912
  mdlm_fs_k2_N1000_lam1000_edlm_s5                  327s  ESS=950
  mdlm_fs_k4_N1000_lam1000_marginal_s1              171s  ESS=760
  mdlm_fs_k4_N1000_lam1000_edlm_s1                  176s  ESS=840
  mdlm_fs_k4_N1000_lam1000_marginal_s2              175s  ESS=880
  mdlm_fs_k4_N1000_lam1000_edlm_s2                  176s  ESS=844
  mdlm_fs_k4_N1000_lam1000_marginal_s3              171s  ESS=915
  mdlm_fs_k4_N1000_lam1000_edlm_s3                  174s  ESS=864
  mdlm_fs_k4_N1000_lam1000_marginal_s4              177s  ESS=780
  mdlm_fs_k4_N1000_lam1000_edlm_s4                  176s  ESS=852
  mdlm_fs_k4_N1000_lam1000_marginal_s5              174s  ESS=844
  mdlm_fs_k4_N1000_lam1000_edlm_s5                  172s  ESS=812
  mdlm_fs_k8_N1000_lam1000_marginal_s1              101s  ESS=736
  mdlm_fs_k8_N1000_lam1000_edlm_s1                   98s  ESS=806
  mdlm_fs_k8_N1000_lam1000_marginal_s2              100s  ESS=779
  mdlm_fs_k8_N1000_lam1000_edlm_s2                  101s  ESS=740
  mdlm_fs_k8_N1000_lam1000_marginal_s3               99s  ESS=663
  mdlm_fs_k8_N1000_lam1000_edlm_s3                   99s  ESS=812
  mdlm_fs_k8_N1000_lam1000_marginal_s4               94s  ESS=796
  mdlm_fs_k8_N1000_lam1000_edlm_s4                   94s  ESS=726
  mdlm_fs_k8_N1000_lam1000_marginal_s5               94s  ESS=745
  mdlm_fs_k8_N1000_lam1000_edlm_s5                   90s  ESS=816
######## Done at 2026. 08. 26. (수) 06:59:27 KST: 800 csv
